149413_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,0,1.118061851,48,1
149414_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,1,1.385109468,48,1
149415_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,0,0.982820599,48,1
142996_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,0,0.888226796,48,1
142997_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,-1,0.759962428,48,1
142998_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,0,1.128964405,48,1
142999_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,1,1.363202607,48,1
143000_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,1,1.633537982,48,1
143001_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,0,0.908148418,48,1
143002_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,0,1.065108203,48,1
143003_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,1,1.42899414,48,1
143004_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,0,1.172022284,48,1
143005_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,1,2.482854983,48,1
149416_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,1,1.391846392,48,1
149417_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,0,0.999307093,48,1
149418_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,1,1.208317843,48,1
149419_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,0,1.194991205,48,1
146076_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,-1,0.663882579,48,1
149420_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,1,1.557249382,48,1
146077_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,1,1.250062303,48,1
149421_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,0,0.883927531,48,1
146078_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,0,1.088997015,48,1
149422_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,1,1.237990291,48,1
146079_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,1,1.382232207,48,1
149423_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,0,1.000693387,48,1
146080_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,1,1.343503426,48,1
149424_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,-1,0.593368399,48,1
146081_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,0,0.961927455,48,1
149425_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,0,1.066585781,48,1
146082_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,-1,0.725476104,48,1
146083_at,DEGR01EMORP48HR,Microbial,E. coli M. leutus,Larvae,0,1.096571589,48,1
