1629242_x_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,4.8080,XX
1640955_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,14.7753,XX
1639729_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,2.0564,XX
1638469_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,1.9335,XX
1635886_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,0,0.9536,XX
1634666_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,0,0.8669,XX
1640448_x_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.7136,XX
1623960_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,0,0.8944,XX
1640242_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,1.3926,XX
1626288_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,2.0316,XX
1624631_x_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,4.6168,XX
1623349_x_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,1.5661,XX
1635258_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.6305,XX
1633998_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,0,1.0275,XX
1630614_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,1.2090,XX
1631349_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,1.6961,XX
1628406_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,1.4397,XX
1634508_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.7104,XX
1637055_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,-1,0.1539,XX
1635829_s_at,KWONXXNURFXXXHR,Mutant,NURF 301 Delta C,Larvae,1,1.3864,XX
