149376_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,1.16634937,1.5
149377_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,-1,0.693034943,1.5
149378_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,0.956608158,1.5
149379_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,1,1.573524891,1.5
149380_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,-1,0.512633619,1.5
149381_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,0.840313752,1.5
149382_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,1.082975046,1.5
149383_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,1.180174343,1.5
149384_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,1,1.231998073,1.5
149385_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,-1,0.736623843,1.5
149386_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,1.046810282,1.5
149387_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,-1,0.749499801,1.5
149388_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,0.806641759,1.5
149389_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,-1,0.650670928,1.5
149390_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,-1,0.52123288,1.5
149392_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,1,1.886876502,1.5
149393_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,0.863339559,1.5
149394_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,-1,0.731028724,1.5
149395_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,0.844986384,1.5
142976_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,0.908148418,1.5
142977_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,1,1.214194884,1.5
142978_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,-1,0.677832163,1.5
142979_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,-1,0.646624466,1.5
142980_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,1,1.392811481,1.5
142981_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,-1,0.710053679,1.5
142982_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,1.074749173,1.5
142983_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,1,1.45195828,1.5
142984_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,0.823591017,1.5
142985_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,0.997231251,1.5
149396_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,-1,0.77271055,1.5
149397_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,-1,0.76684133,1.5
149398_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,0.888226796,1.5
149400_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,1.028113827,1.5
149401_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,0.814507563,1.5
149402_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,-1,0.644387315,1.5
149403_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,1.034547582,1.5
149404_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,0.804966138,1.5
149405_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,-1,0.794985251,1.5
142986_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,1.159899655,1.5
142987_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,1,1.227735684,1.5
142988_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,1.050444544,1.5
142989_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,1.055553718,1.5
142990_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,1.054091423,1.5
142991_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,-1,0.570777354,1.5
142992_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,1,1.274560627,1.5
142993_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,-1,0.749499801,1.5
142994_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,1,1.318593614,1.5
142995_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,0.87175824,1.5
149406_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,0,1.086734863,1.5
149407_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,1,1.271031689,1.5
149408_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,1,1.476314406,1.5
149409_at,DEGR02EMREL01HR,Microbial,E.coli M.leutus Rel,Larvae,1,1.226884977,1.5
